BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,1,80,45,1,38,0.72972972972973,230,0.593886462882096,276,0.541818181818182,688,0.493449781659389,824,0.49453219927096,522,0.63147792706334,775,0.481912144702842,NaN,NaN,522,0.556621880998081
1,1,81,45,1,437,0.224770642201835,473,0.716101694915254,656,0.305343511450382,906,0.29060773480663,830,0.308805790108565,753,0.344414893617021,641,0.4265625,NaN,NaN,-1,NaN
1,1,82,45,1,179,0.455056179775281,260,0.482625482625483,491,0.642857142857143,759,0.453825857519789,748,0.621151271753681,614,0.535073409461664,-1,NaN,NaN,NaN,-1,NaN
1,1,83,45,1,287,0.458041958041958,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,84,45,1,0,NaN,208,0.483091787439614,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,85,45,1,904,0.425249169435216,508,0.676528599605523,75,0.5,36,0.514285714285714,487,0.596707818930041,379,0.62962962962963,922,0.712269272529859,NaN,NaN,-1,NaN
1,1,86,45,1,820,0.449328449328449,692,0.531114327062229,5,0.5,875,0.481693363844394,892,0.498316498316498,662,0.54160363086233,-1,NaN,NaN,NaN,-1,NaN
1,1,87,45,1,697,0.619252873563218,606,0.611570247933884,42,0.48780487804878,147,0.465753424657534,804,0.475716064757161,835,0.465227817745803,1036,0.351690821256039,NaN,NaN,-1,NaN
1,1,88,45,1,294,0.546075085324232,467,0.465665236051502,398,0.501259445843829,620,0.531502423263328,816,0.492024539877301,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,89,45,1,775,0.67312661498708,661,0.674242424242424,29,0.5,688,0.611353711790393,1036,0.598067632850242,846,0.528994082840237,1155,0.699306759098787,NaN,NaN,-1,NaN
1,1,90,45,1,741,0.514864864864865,747,0.522788203753351,545,0.5,907,0.480132450331126,1032,0.354995150339476,877,0.462328767123288,838,0.457586618876941,NaN,NaN,-1,NaN
1,1,91,45,0,31,0.333333333333333,593,0.429054054054054,72,0.464788732394366,878,0.498289623717218,797,0.60427135678392,727,0.497245179063361,691,0.553623188405797,NaN,NaN,542,0.475046210720887
1,1,92,45,0,223,0.518018018018018,723,0.523545706371191,634,0.500789889415482,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,93,45,0,57,0.803571428571429,425,0.563679245283019,4,1,597,0.407718120805369,391,0.233333333333333,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
