Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
2,0.39,6,1,2,4,On,0.801458670988655,1,Yes
3,0.39,6,1,2,4,On,0.895461912479741,1,Yes
4,0.39,6,1,2,4,On,0.663695299837925,1,Yes
5,0.39,6,1,2,4,On,0.472447325769854,1,Yes
6,0.39,6,1,2,4,On,0.231766612641815,1,Yes
7,0.39,6,1,2,4,On,0.478930307941653,1,Yes
8,0.39,6,1,2,4,On,0.752025931928687,1,Yes
9,0.39,6,1,2,4,On,0.783630470016207,1,Yes
10,0.39,6,1,2,4,On,0.638573743922204,1,Yes
11,0.39,6,1,2,4,On,0.999189627228525,1,Yes
12,0.39,6,1,2,4,On,0.379254457050243,1,Yes
13,0.39,6,1,2,4,On,0.727714748784441,1,Yes
14,0.39,6,1,2,4,On,0.696110210696921,1,Yes
15,0.39,6,1,2,4,On,0.622366288492707,1,Yes
1,0.39,6,1,2,4,Off,0.562322946175637,1,Yes
2,0.39,6,1,2,4,Off,0.260623229461756,1,Yes
3,0.39,6,1,2,4,Off,0.687677053824363,1,Yes
4,0.39,6,1,2,4,Off,0.475920679886686,1,Yes
5,0.39,6,1,2,4,Off,0.425637393767705,1,Yes
6,0.39,6,1,2,4,Off,0.50070821529745,1,Yes
7,0.39,6,1,2,4,Off,0.56728045325779,1,Yes
8,0.39,6,1,2,4,Off,0.690509915014164,1,Yes
9,0.39,6,1,2,4,Off,0.465297450424929,1,Yes
10,0.39,6,1,2,4,Off,0.66643059490085,1,Yes
11,0.39,6,1,2,4,Off,0.871104815864023,1,Yes
12,0.39,6,1,2,4,Off,0.458923512747875,1,Yes
13,0.39,6,1,2,4,Off,0.502124645892351,1,Yes
14,0.39,6,1,2,4,Off,1.0,1,Yes
15,0.39,6,1,2,4,Off,0.279745042492918,1,Yes
1,0.39,6,1,3,1,On,0.641509433962264,1,Yes
2,0.39,6,1,3,1,On,0.622641509433962,1,Yes
3,0.39,6,1,3,1,On,0.626072041166381,1,Yes
4,0.39,6,1,3,1,On,0.404802744425386,1,Yes
5,0.39,6,1,3,1,On,0.600343053173242,1,Yes
6,0.39,6,1,3,1,On,0.485420240137221,1,Yes
7,0.39,6,1,3,1,On,0.789022298456261,1,Yes
8,0.39,6,1,3,1,On,0.569468267581475,1,Yes
9,0.39,6,1,3,1,On,0.765008576329331,1,Yes
10,0.39,6,1,3,1,On,0.540308747855918,1,Yes
11,0.39,6,1,3,1,On,0.919382504288165,1,Yes
12,0.39,6,1,3,1,On,0.499142367066895,1,Yes
13,0.39,6,1,3,1,On,0.615780445969125,1,Yes
14,0.39,6,1,3,1,On,0.704974271012007,1,Yes
15,0.39,6,1,3,1,On,0.611492281303602,1,Yes
1,0.39,6,1,3,1,Off,0.455970149253731,1,Yes
2,0.39,6,1,3,1,Off,0.451492537313433,1,Yes
3,0.39,6,1,3,1,Off,0.77089552238806,1,Yes
4,0.39,6,1,3,1,Off,0.530597014925373,1,Yes
5,0.39,6,1,3,1,Off,0.473134328358209,1,Yes
6,0.39,6,1,3,1,Off,0.542537313432836,1,Yes
7,0.39,6,1,3,1,Off,0.497014925373134,1,Yes
8,0.39,6,1,3,1,Off,0.46044776119403,1,Yes
9,0.39,6,1,3,1,Off,0.48955223880597,1,Yes
10,0.39,6,1,3,1,Off,0.472388059701493,1,Yes
11,0.39,6,1,3,1,Off,0.58134328358209,1,Yes
12,0.39,6,1,3,1,Off,0.433582089552239,1,Yes
13,0.39,6,1,3,1,Off,0.415671641791045,1,Yes
14,0.39,6,1,3,1,Off,0.623134328358209,1,Yes
15,0.39,6,1,3,1,Off,0.844776119402985,1,Yes
1,0.39,6,1,3,2,On,0.692242833052277,1,Yes
2,0.39,6,1,3,2,On,0.741989881956155,1,Yes
3,0.39,6,1,3,2,On,0.285834738617201,1,Yes
4,0.39,6,1,3,2,On,0.48566610455312,1,Yes
5,0.39,6,1,3,2,On,0.477234401349073,1,Yes
6,0.39,6,1,3,2,On,0.840640809443508,1,Yes
7,0.39,6,1,3,2,On,0.279089376053963,1,Yes
8,0.39,6,1,3,2,On,0.71247892074199,1,Yes
9,0.39,6,1,3,2,On,0.704890387858347,1,Yes
10,0.39,6,1,3,2,On,0.673693086003373,1,Yes
11,0.39,6,1,3,2,On,0.792580101180438,1,Yes
12,0.39,6,1,3,2,On,0.081787521079258,1,Yes
13,0.39,6,1,3,2,On,0.55902192242833,1,Yes
14,0.39,6,1,3,2,On,0.675379426644182,1,Yes
15,0.39,6,1,3,2,On,0.45362563237774,1,Yes
1,0.39,6,1,3,2,Off,0.448453608247423,1,Yes
2,0.39,6,1,3,2,Off,0.376288659793814,1,Yes
3,0.39,6,1,3,2,Off,0.559646539027982,1,Yes
4,0.39,6,1,3,2,Off,0.504418262150221,1,Yes
5,0.39,6,1,3,2,Off,0.536818851251841,1,Yes
6,0.39,6,1,3,2,Off,0.459499263622975,1,Yes
7,0.39,6,1,3,2,Off,0.560382916053019,1,Yes
8,0.39,6,1,3,2,Off,0.442562592047128,1,Yes
9,0.39,6,1,3,2,Off,1.0,1,Yes
10,0.39,6,1,3,2,Off,0.739322533136966,1,Yes
11,0.39,6,1,3,2,Off,0.589837997054492,1,Yes
12,0.39,6,1,3,2,Off,0.385861561119293,1,Yes
13,0.39,6,1,3,2,Off,0.615611192930781,1,Yes
14,0.39,6,1,3,2,Off,0.267304860088365,1,Yes
15,0.39,6,1,3,2,Off,0.575110456553755,1,Yes
1,0.39,6,1,3,3,On,0.863865546218487,1,Yes
2,0.39,6,1,3,3,On,0.684873949579832,1,Yes
3,0.39,6,1,3,3,On,0.589075630252101,1,Yes
4,0.39,6,1,3,3,On,0.622689075630252,1,Yes
5,0.39,6,1,3,3,On,0.722689075630252,1,Yes
6,0.39,6,1,3,3,On,0.694957983193277,1,Yes
7,0.39,6,1,3,3,On,0.671428571428571,1,Yes
8,0.39,6,1,3,3,On,0.122689075630252,1,Yes
9,0.39,6,1,3,3,On,0.783193277310924,1,Yes
10,0.39,6,1,3,3,On,0.548739495798319,1,Yes
11,0.39,6,1,3,3,On,0.728571428571429,1,Yes
12,0.39,6,1,3,3,On,0.608403361344538,1,Yes
13,0.39,6,1,3,3,On,0.643697478991597,1,Yes
14,0.39,6,1,3,3,On,0.73109243697479,1,Yes
15,0.39,6,1,3,3,On,0.166386554621849,1,Yes
1,0.39,6,1,3,3,Off,0.464259395725866,1,Yes
2,0.39,6,1,3,3,Off,0.362564480471629,1,Yes
3,0.39,6,1,3,3,Off,0.56963890935888,1,Yes
4,0.39,6,1,3,3,Off,0.674281503316139,1,Yes
5,0.39,6,1,3,3,Off,0.411201179071481,1,Yes
6,0.39,6,1,3,3,Off,0.475313190862196,1,Yes
7,0.39,6,1,3,3,Off,0.464996315401621,1,Yes
8,0.39,6,1,3,3,Off,0.52689756816507,1,Yes
9,0.39,6,1,3,3,Off,0.593220338983051,1,Yes
10,0.39,6,1,3,3,Off,0.465733235077377,1,Yes
11,0.39,6,1,3,3,Off,0.535740604274134,1,Yes
12,0.39,6,1,3,3,Off,0.596904937361828,1,Yes
13,0.39,6,1,3,3,Off,0.490788504053058,1,Yes
14,0.39,6,1,3,3,Off,0.496683861459101,1,Yes
15,0.39,6,1,3,3,Off,0.345615327929256,1,Yes
1,0.39,6,1,3,4,On,0.513698630136986,1,Yes
2,0.39,6,1,3,4,On,0.835616438356164,1,Yes
3,0.39,6,1,3,4,On,0.656678082191781,1,Yes
